time,frmpg/s,bufpg/s,campg/s
00:10:01,25.28,0.01,-0.24
00:20:01,1.39,0.04,-11.11
00:30:01,16.48,0.01,0.46
00:40:01,-18.82,0.02,-0.73
00:50:01,-29.99,0.01,0.15
01:00:01,52.94,0.00,0.26
01:10:01,-29.22,0.00,0.34
01:20:01,40.78,0.00,0.06
01:30:01,-50.79,0.01,0.28
01:40:01,38.54,0.00,0.27
01:50:01,-2.35,0.01,0.31
02:00:01,10.37,0.00,-0.17
02:10:01,-122.56,0.00,0.32
02:20:01,117.42,0.00,-0.03
02:30:01,1.87,0.01,0.16
02:40:02,15.54,0.00,0.16
02:50:01,-9.05,0.00,0.17
03:00:01,5.42,0.00,0.22
03:10:02,-12.97,0.03,0.12
03:20:01,16.06,0.00,0.17
03:30:01,-10.01,0.00,0.17
03:40:01,-8.79,0.00,0.20
03:50:01,18.89,0.00,0.19
04:00:01,-4.06,0.00,-0.21
04:10:01,28.24,0.03,-27.81
04:20:01,-8.14,0.01,0.08
04:30:01,15.57,0.01,0.11
04:40:01,-1.05,0.00,0.06
04:50:01,-2.36,0.00,0.07
05:00:01,-3.27,0.00,0.16
05:10:01,-9.98,0.00,0.21
05:20:01,15.65,0.00,0.00
05:30:01,-0.35,0.00,0.15
05:40:01,-5.21,0.00,0.18
05:50:01,1.20,0.00,0.05
06:00:01,-12.00,0.00,0.27
06:10:01,12.47,0.00,0.18
06:20:01,-93.71,0.08,37.97
06:30:01,52.30,0.00,0.17
06:40:01,-1.43,0.00,0.19
06:50:01,-4.82,0.01,0.81
07:00:01,10.01,0.00,0.23
07:10:01,-23.38,0.00,0.11
07:20:02,-6.70,0.00,0.23
07:30:01,19.39,0.00,-0.57
07:40:01,-3.15,0.00,0.24
07:50:01,-6.02,0.01,0.07
08:00:01,5.21,0.00,0.22
08:10:01,-5.41,0.00,0.22
08:20:01,-38.39,0.01,0.28
08:30:01,44.51,0.00,0.06
08:40:01,-35.87,0.00,0.24
08:50:01,19.98,0.00,0.14
09:00:01,-9.16,0.00,0.11
09:10:01,17.45,0.00,0.25
09:20:01,-25.65,0.00,0.08
09:30:01,8.35,0.01,0.26
09:40:01,-15.45,0.01,0.19
09:50:01,33.91,0.00,0.25
10:00:01,0.40,0.01,0.38
10:10:01,-14.60,0.00,0.33
10:20:02,-19.54,0.00,0.08
10:30:01,15.47,0.01,0.37
10:40:01,5.88,0.01,0.04
10:50:01,3.68,0.00,0.18
11:00:01,-17.48,0.00,0.32
11:10:01,0.97,0.00,0.16
11:20:01,-6.24,0.02,0.28
11:30:01,9.23,0.02,0.17
11:40:01,-43.94,0.02,0.43
11:50:01,42.51,0.00,0.27
12:00:01,-18.71,0.01,0.32
12:10:01,8.40,0.03,0.36
12:20:01,11.38,0.01,0.36
12:30:01,-17.68,0.03,0.29
12:40:01,-19.63,0.01,0.14
12:50:01,46.62,0.01,-11.92
13:00:01,-49.84,0.01,0.18
13:10:01,34.28,0.01,0.41
13:20:01,20.54,0.01,0.20
13:30:01,9.46,0.00,0.26
13:40:01,-11.69,0.01,0.30
13:50:01,-15.90,0.00,0.18
14:00:01,20.33,0.02,0.34
14:10:01,-33.41,0.01,0.52
14:20:01,-2.00,0.01,0.22
14:30:01,-9.69,0.00,0.42
14:40:01,36.38,0.01,0.54
14:50:01,-3.95,0.02,0.04
15:00:01,-33.16,0.00,0.25
15:10:01,5.69,0.00,0.57
15:20:01,-31.81,0.00,0.39
15:30:01,49.11,0.00,0.52
15:40:01,3.80,0.00,0.48
15:50:01,-24.23,0.00,0.45
16:00:01,30.92,0.00,-0.09
16:10:01,-13.77,0.00,0.54
16:20:01,-3.58,0.00,0.04
16:30:01,-16.81,0.00,0.39
16:40:01,21.15,0.00,0.48
16:50:01,13.73,0.00,0.43
17:00:01,-36.21,0.00,0.49
17:10:01,-20.25,0.00,-0.27
17:20:01,36.74,0.01,0.51
17:30:01,13.93,0.00,0.10
17:40:01,-8.10,0.00,0.12
17:50:01,3.45,0.00,0.35
18:00:01,14.65,0.00,0.30
18:10:01,-33.67,0.00,1.18
18:20:01,9.99,0.00,0.51
18:30:01,12.91,0.01,0.24
18:40:01,-3.06,0.00,0.34
18:50:02,-18.72,0.00,0.25
19:00:01,-12.22,0.00,0.43
19:10:01,19.83,0.02,0.19
19:20:01,8.41,0.00,0.30
19:30:01,-41.54,0.00,0.32
19:40:01,51.21,0.00,0.31
19:50:01,-33.42,0.00,0.14
20:00:02,12.02,0.00,0.73
20:10:01,-20.07,0.00,0.46
20:20:01,-29.27,0.00,0.23
20:30:01,32.84,0.00,0.51
20:40:01,40.16,0.01,-0.07
20:50:01,3.17,0.00,0.41
21:00:01,-36.59,0.00,0.36
21:10:01,13.73,0.00,0.29
21:20:01,-9.58,0.00,0.22
21:30:01,2.24,0.00,0.47
21:40:01,19.74,0.01,0.03
21:50:01,-30.58,0.00,0.10
22:00:01,22.74,0.00,0.42
22:10:01,-14.27,0.00,0.29
22:20:01,0.50,0.00,0.31
22:30:01,-69.71,0.01,0.93
22:40:01,65.37,0.00,0.35
22:50:01,-5.32,0.00,0.33
23:00:02,-26.88,0.00,0.46
23:10:01,54.93,0.00,-0.50
23:20:01,-26.06,0.00,0.32
23:30:01,5.84,0.00,0.29
23:40:01,7.26,0.00,0.36
23:50:01,-23.86,0.00,0.37
